instrument,symbol,base_currency,base_symbol,quote_currency,quote_symbol,instrument_type,contract_type,contract_value,max_leverage,min_size,lot_size,tick_size,digits,max_limit_size,max_market_size,leverage,margin_mode,martingale_factor,bulk_collection_rate,interval_collection_rate,sma_factor,trade_period,trade_timeframe,timeframe_units,trade_state,trade_status,suspense,list_time,expiry_time
75411C,1000000BABYDOGE-USDT,00413B,1000000BABYDOGE,350FE2,USDT,SWAP,linear,1000,25,1,1,1E-07,8,60000,12000,0,cross,0,,,,,,,1697FE,Disabled,0,"2024/06/12 04:00:05","2050/11/30 08:00:00"
6CF8CE,1000000BOB-USDT,A33370,1000000BOB,350FE2,USDT,SWAP,linear,10,50,1,1,1E-05,6,900000,20000,0,cross,0,,,,,,,1697FE,Disabled,0,"2025/06/05 02:00:00","2124/08/01 03:00:00"
522F94,1000000MOG-USDT,9EBC23,1000000MOG,350FE2,USDT,SWAP,linear,1,75,1,1,0.0001,5,170000,34000,0,cross,0,,,,,,,1697FE,Disabled,0,"2024/05/27 03:30:05","2050/11/30 08:00:00"
08A048,1000000PEIPEI-USDT,A7EAB0,1000000PEIPEI,350FE2,USDT,SWAP,linear,10,12,1,1,1E-05,6,25000,5000,0,cross,0,,,,,,,14E7C6,Suspended,1,"2024/07/05 03:30:00","2028/12/31 08:00:00"
662B38,10000COQ-USDT,23F9A6,10000COQ,350FE2,USDT,SWAP,linear,100,12,1,1,1E-06,7,25000,5000,0,cross,0,,,,,,,14E7C6,Suspended,1,"2024/03/13 03:30:05","2030/11/30 08:00:00"
A1803A,10000SATS-USDT,220F94,10000SATS,350FE2,USDT,SWAP,linear,1,25,1,1,1E-07,8,132210000,12000000,0,cross,0,,,,,,,1697FE,Disabled,0,"2023/11/16 20:30:05","2030/11/16 19:22:08"
3BFCF0,1000APU-USDT,CCE5AA,1000APU,350FE2,USDT,SWAP,linear,10,25,0.1,0.1,0.0001,5,7500,1500,0,cross,0,,,,,,,14E7C6,Suspended,1,"2024/06/21 03:30:05","2050/11/30 08:00:00"
57A8C0,1000BONK-USDT,38FC11,1000BONK,350FE2,USDT,SWAP,linear,1000,75,0.1,0.1,1E-06,7,40000,6000,0,cross,0,,,,,,,1697FE,Disabled,0,"2023/11/16 00:30:05","2030/11/30 20:30:00"
968E0E,1000BTT-USDT,A9E9C4,1000BTT,350FE2,USDT,SWAP,linear,10000,25,0.1,0.1,1E-07,8,7837,784,0,cross,0,,,,,,,14E7C6,Suspended,1,"2023/11/16 00:30:05","2125/07/27 02:39:24.553"
240F75,1000CATS-USDT,CF4A50,1000CATS,350FE2,USDT,SWAP,linear,100,12,1,1,1E-06,7,6000,1200,0,cross,0,,,,,,,14E7C6,Suspended,1,"2024/10/16 03:00:00","2049/10/16 00:40:55"
