REQUEST,ORDERS,VW_ORDERS,VW_API_REQUESTS
245,295,245,245
REQUEST,,,,,,,,,,,,,,,
Request,"Order Id","Instrument
Position",Action,State,Price,Size,Leverage,"Request
Type","Margin
Mode","Reduce
Only",Memo,"Broker
ID","Create
Time","Expiry
Time","Update
Time"
4C5B4A3537BE,00E8DBAA1573,EDDA999DFB4E,sell,4BC99C,2.85,100,15,B83296,cross,1,"[Info] Response.Request: Order submitted successfully",,"2025/12/15 06:50:09.513","2025/12/15 06:55:09.482","2025/12/15 06:53:11.459"
C13C2B66C20D,,EDDA999DFB4E,sell,19D388,2.85,100,15,B83296,cross,1,"[Expired]: Queued and Rejected request changed to Expired",,"2025/12/15 05:07:16.953","2025/12/15 05:12:16.922","2025/12/15 05:26:15.083"
92ACE092719F,00E8DBA9F8AD,EDDA999DFB4E,sell,E8FCF7,2.95,100,15,B83296,cross,1,"[Info] Orders.Publish: History updated; order imported",,"2025/12/15 03:34:09.363","2025/12/15 11:34:09.363","2025/12/15 03:44:43.646"
19C5E013DB88,00E8DBA1C834,EDDA999DFB4E,sell,E8FCF7,2.5,500,15,B83296,cross,1,"[Info] Orders.Publish: History updated; order imported",,"2025/12/03 10:13:17.525","2025/12/03 18:13:17.525","2025/12/04 12:56:58.775"
0FBC26D6B647,00E8DBA1AFF3,EDDA999DFB4E,sell,E8FCF7,2.55,100,50,B83296,cross,1,"[Info] Orders.Publish: History updated; order imported",,"2025/12/03 07:32:17.698","2025/12/03 15:32:17.698","2025/12/03 07:47:17.448"
0EEACD64B647,00E8DBA18B91,EDDA999DFB4E,sell,E8FCF7,2.85,100,40,B83296,cross,1,"[Info] Orders.Publish: History updated; order imported",,"2025/12/03 06:29:19.422","2025/12/03 14:29:19.422","2025/12/03 06:32:43.914"
AFC9EBD09BD9,00E8DBA15E0B,EDDA999DFB4E,sell,E8FCF7,2.95,100,40,B83296,cross,1,"[Info] Orders.Publish: History updated; order imported",,"2025/12/03 00:18:09.497","2025/12/03 08:18:09.497","2025/12/03 00:24:34.483"
2F40C26B5313,00E8DBA15B02,EDDA999DFB4E,sell,E8FCF7,2.95,100,40,B83296,cross,1,"[Info] Orders.Publish: History updated; order imported",,"2025/12/02 23:28:47.723","2025/12/03 07:28:47.723","2025/12/02 23:34:07.023"
C7511E5414FC,00E8DBA034EA,EDDA999DFB4E,sell,E8FCF7,2.5,500,40,B83296,cross,1,"[Info] Orders.Publish: History updated; order imported",,"2025/12/01 11:57:08.294","2025/12/01 19:57:08.294","2025/12/01 12:07:44.084"
3301CB3E5F77,00E8DBA00509,EDDA999DFB4E,sell,E8FCF7,2.55,100,50,B83296,cross,1,"[Info] Orders.Publish: History updated; order imported",,"2025/12/01 07:20:12.873","2025/12/01 15:20:12.873","2025/12/01 07:21:10.376"
58EE2785E633,00E8DB9FFE2A,EDDA999DFB4E,sell,E8FCF7,2.85,100,40,B83296,cross,1,"[Info] Orders.Publish: History updated; order imported",,"2025/12/01 06:42:01.364","2025/12/01 14:42:01.364","2025/12/01 06:45:24.678"
F7A6CF18BFA6,00E8DB9FF6A7,EDDA999DFB4E,sell,E8FCF7,2.95,100,40,B83296,cross,1,"[Info] Orders.Publish: History updated; order imported",,"2025/12/01 05:52:40.947","2025/12/01 13:52:40.947","2025/12/01 05:58:57.900"
936224C4A7E6,00E8DB9F6D67,EDDA999DFB4E,sell,E8FCF7,2.5,500,40,B83296,cross,1,"[Info] Orders.Publish: History updated; order imported",,"2025/11/30 14:20:57.935","2025/11/30 22:20:57.935","2025/11/30 18:43:52.477"
6F7FD9B4D920,00E8DB9EF5DC,EDDA999DFB4E,sell,E8FCF7,2.55,100,50,B83296,cross,1,"[Info] Orders.Publish: History updated; order imported",,"2025/11/29 04:07:05.552","2025/11/29 12:07:05.552","2025/11/29 04:08:03.600"
A6D98E3FEA24,00E8DB9EF364,EDDA999DFB4E,sell,E8FCF7,2.55,100,50,B83296,cross,1,"[Info] Orders.Publish: History updated; order imported",,"2025/11/29 03:05:46.098","2025/11/29 11:05:46.098","2025/11/29 03:07:41.868"
