REQUEST,ORDERS,VW_ORDERS,VW_API_REQUESTS
332,357,332,332
REQUEST,,,,,,,,,,,,,,,
Request,"Order Id","Instrument
Position",Action,State,Price,Size,Leverage,"Request
Type","Margin
Mode","Reduce
Only",Memo,"Broker
ID","Create
Time","Expiry
Time","Update
Time"
42C878318A61,00E8DB9D3D29,119BB09507BD,sell,E8FCF7,2.85,100,50,B83296,cross,1,"[Info] Response.Request: Order canceled successfully",,"2025/11/25 18:36:26.194","2025/11/25 18:44:26.161","2025/11/25 18:44:31.854"
F4C27E425D3F,,119BB09507BD,sell,19D388,2.85,100,50,B83296,cross,1,"[Expired]: Queued and Rejected request changed to Expired",,"2025/11/25 18:20:21.932","2025/11/25 18:28:21.900","2025/11/25 18:34:45.196"
C6E2955AE8AF,00E8DB9D22CD,119BB09507BD,sell,E8FCF7,2.85,100,50,B83296,cross,1,"[Info] Orders.Publish: Order missing; was recieved from Blofin; submitted and processed",,"2025/11/25 16:27:09.765","2025/11/26 00:27:09.765","2025/11/25 16:33:27.068"
E83E16D6903C,00E8DB9C8CDB,119BB09507BD,sell,E8FCF7,2.95,100,50,B83296,cross,1,"[Info] Orders.Publish: Order missing; was recieved from Blofin; submitted and processed",,"2025/11/25 05:50:26.383","2025/11/25 13:50:26.383","2025/11/25 06:05:14.902"
24B3249825F4,00E8DB9C0AB2,119BB09507BD,sell,E8FCF7,2.95,100,50,B83296,cross,1,"[Info] Orders.Publish: Order missing; was recieved from Blofin; submitted and processed",,"2025/11/24 19:38:20","2025/11/25 03:38:20","2025/11/25 03:32:21.618"
D1F9C37BC0A0,00E8DB9BCC99,119BB09507BD,sell,E8FCF7,2.95,100,50,B83296,cross,1,"[Info] Orders.Publish: Order missing; was recieved from Blofin; submitted and processed",,"2025/11/24 12:56:08.169","2025/11/24 20:56:08.169","2025/11/24 12:58:51.576"
A87F5B3A1F01,00E8DB96063C,119BB09507BD,sell,E8FCF7,2.95,100,50,B83296,cross,1,"[Info] Orders.Publish: Order missing; was recieved from Blofin; submitted and processed",,"2025/11/17 17:42:33.024","2025/11/18 01:42:33.024","2025/11/17 19:37:09.083"
CDCA06287778,00E8DB953182,119BB09507BD,sell,E8FCF7,2.5,500,50,B83296,cross,1,"[Info] Orders.Publish: Order missing; was recieved from Blofin; submitted and processed",,"2025/11/16 19:23:43.857","2025/11/17 03:23:43.857","2025/11/16 21:50:17.059"
1BCE014856E6,00E8DB8EFFA8,119BB09507BD,sell,E8FCF7,2.95,100,50,B83296,cross,1,"[Info] Orders.Publish: Order missing; was recieved from Blofin; submitted and processed",,"2025/11/14 18:50:58.462","2025/11/15 02:50:58.462","2025/11/14 19:11:45.896"
0A8957E5E24E,00E8DB8EA631,119BB09507BD,sell,E8FCF7,2.95,100,50,B83296,cross,1,"[Info] Orders.Publish: Order missing; was recieved from Blofin; submitted and processed",,"2025/11/14 16:31:43.930","2025/11/15 00:31:43.930","2025/11/14 18:50:58.247"
D4F9243BC6B1,00E8DB8D15AB,119BB09507BD,sell,E8FCF7,2.55,100,50,B83296,cross,1,"[Info] Orders.Publish: Order missing; was recieved from Blofin; submitted and processed",,"2025/11/13 09:49:02.351","2025/11/13 17:49:02.351","2025/11/13 09:57:15.100"
08406FB76DE4,00E8DB8C73D5,119BB09507BD,sell,E8FCF7,2.55,100,50,B83296,cross,1,"[Info] Orders.Publish: Order missing; was recieved from Blofin; submitted and processed",,"2025/11/12 19:51:45.137","2025/11/13 03:51:45.137","2025/11/12 20:16:54.231"
F84640E7D019,00E8DB8C4226,119BB09507BD,sell,E8FCF7,2.85,100,50,B83296,cross,1,"[Info] Orders.Publish: Order missing; was recieved from Blofin; submitted and processed",,"2025/11/12 15:40:51.713","2025/11/12 23:40:51.713","2025/11/12 15:48:35.854"
DFAC76CCD9C7,00E8DB8C3F59,119BB09507BD,sell,E8FCF7,2.85,100,50,B83296,cross,1,"[Info] Orders.Publish: Order missing; was recieved from Blofin; submitted and processed",,"2025/11/12 15:02:46.510","2025/11/12 23:02:46.510","2025/11/12 15:09:03.717"
E9854A64B238,00E8DB8C2015,119BB09507BD,sell,E8FCF7,2.95,100,50,B83296,cross,1,"[Info] Orders.Publish: Order missing; was recieved from Blofin; submitted and processed",,"2025/11/12 10:59:10.405","2025/11/12 18:59:10.405","2025/11/12 11:41:30.605"
C925613E6581,00E8DB8B6FCF,119BB09507BD,sell,E8FCF7,2.95,100,50,B83296,cross,1,"[Info] Orders.Publish: Order missing; was recieved from Blofin; submitted and processed",,"2025/11/11 21:48:48.658","2025/11/12 05:48:48.658","2025/11/11 22:08:34.698"
00E8DB8B26C3,00E8DB8B26C3,E1163EF82926,sell,E1CB25,0,500,50,B83296,cross,1,"[Info] Orders.Publish: Order missing; was recieved from Blofin; submitted and processed",,"2025/11/11 17:00:26.239","2025/11/12 01:00:26.239","2025/11/11 17:00:26.288"
08F4D4CC1DA3,00E8DB8ABEFD,E1163EF82926,buy,E1CB25,2.42,500,50,B83296,cross,1,"[Info] Orders.Publish: Order missing; was recieved from Blofin; submitted and processed",,"2025/11/11 10:55:27.565","2025/11/11 18:55:27.565","2025/11/11 11:00:33.495"
00E8DB8ABDBA,00E8DB8ABDBA,E1163EF82926,sell,E1CB25,0,750,50,B83296,cross,1,"[Info] Orders.Publish: Order missing; was recieved from Blofin; submitted and processed",,"2025/11/11 10:40:14.751","2025/11/11 18:40:14.751","2025/11/11 10:40:14.789"
00E8DB8ABDBB,00E8DB8ABDBB,119BB09507BD,buy,E1CB25,0,1500,50,B83296,cross,1,"[Info] Orders.Publish: Order missing; was recieved from Blofin; submitted and processed",,"2025/11/11 10:40:14.751","2025/11/11 18:40:14.751","2025/11/11 10:40:14.848"
00E8DB8A3D3A,00E8DB8A3D3A,E1163EF82926,buy,E1CB25,2.43,750,50,B83296,cross,1,"[Info] Orders.Publish: Order missing; was recieved from Blofin; submitted and processed",,"2025/11/10 22:54:33.430","2025/11/11 06:54:33.430","2025/11/11 07:31:25.112"
00E8DB89B930,00E8DB89B930,119BB09507BD,sell,E1CB25,2.5295,500,50,B83296,cross,1,"[Info] Orders.Publish: Order missing; was recieved from Blofin; submitted and processed",,"2025/11/10 13:28:37.605","2025/11/10 21:28:37.605","2025/11/10 13:31:44.485"
00E8DB89B921,00E8DB89B921,119BB09507BD,sell,E8FCF7,2.5295,5,50,B83296,cross,1,"[Info] Orders.Publish: Order missing; was recieved from Blofin; submitted and processed",,"2025/11/10 13:27:59.441","2025/11/10 21:27:59.441","2025/11/10 13:28:18.149"
00E8DB89526E,00E8DB89526E,119BB09507BD,buy,E8FCF7,2.2552,500,50,B83296,cross,1,"[Info] Orders.Publish: Order missing; was recieved from Blofin; submitted and processed",,"2025/11/10 01:53:14.881","2025/11/10 09:53:14.881","2025/11/10 05:26:54.927"
E322F05B2C18,00E8DB88F47D,119BB09507BD,sell,E1CB25,2.382,1000,50,B83296,cross,1,"[Info] Orders.Publish: Order missing; was recieved from Blofin; submitted and processed",,"2025/11/09 15:48:25.360","2025/11/09 23:48:25.360","2025/11/09 16:20:17.406"
00E8DB88C000,00E8DB88C000,119BB09507BD,buy,E1CB25,0,1000,50,B83296,cross,1,"[Info] Orders.Publish: Order missing; was recieved from Blofin; submitted and processed",,"2025/11/09 10:04:42.797","2025/11/09 18:04:42.797","2025/11/09 10:04:42.836"
DEA6197EB860,00E8DB88AD50,119BB09507BD,sell,E1CB25,2.322,1000,50,B83296,cross,1,"[Info] Orders.Publish: Order missing; was recieved from Blofin; submitted and processed",,"2025/11/09 07:40:44.515","2025/11/09 15:40:44.515","2025/11/09 07:52:54.310"
00E8DB88A38B,00E8DB88A38B,E1163EF82926,sell,E1CB25,0,1000,50,B83296,cross,1,"[Info] Orders.Publish: Order missing; was recieved from Blofin; submitted and processed",,"2025/11/09 06:49:55.632","2025/11/09 14:49:55.632","2025/11/09 06:49:55.669"
A52293DEB5FF,00E8DB8813C2,E1163EF82926,buy,E1CB25,2.262,1000,50,B83296,cross,1,"[Info] Orders.Publish: Order missing; was recieved from Blofin; submitted and processed",,"2025/11/08 05:35:16.316","2025/11/08 13:35:16.316","2025/11/08 06:19:36.779"
E2D5C7EE48AE,00E8DB87CDBB,119BB09507BD,sell,E8FCF7,2.95,100,50,B83296,cross,1,"[Info] Orders.Publish: Order missing; was recieved from Blofin; submitted and processed",,"2025/11/07 19:41:26.245","2025/11/08 03:41:26.245","2025/11/07 19:46:44.763"
22261170B29B,00E8DB87B48A,119BB09507BD,sell,E8FCF7,2.95,100,50,B83296,cross,1,"[Info] Orders.Publish: Order missing; was recieved from Blofin; submitted and processed",,"2025/11/07 16:55:05.079","2025/11/08 00:55:05.079","2025/11/07 16:59:54.945"
70A6E8ECA21E,00E8DB86A4EE,119BB09507BD,sell,E8FCF7,2.95,100,50,B83296,cross,1,"[Info] Orders.Publish: Order missing; was recieved from Blofin; submitted and processed",,"2025/11/06 21:41:26.095","2025/11/07 05:41:26.095","2025/11/07 01:55:22.174"
24512DE2D3DE,00E8DB8607ED,119BB09507BD,sell,E8FCF7,2.55,100,50,B83296,cross,1,"[Info] Orders.Publish: Order missing; was recieved from Blofin; submitted and processed",,"2025/11/05 16:27:07.044","2025/11/06 00:27:07.044","2025/11/05 16:34:51.265"
B3CEC99E5D33,00E8DB85E2F1,119BB09507BD,sell,E8FCF7,2.85,100,50,B83296,cross,1,"[Info] Orders.Publish: Order missing; was recieved from Blofin; submitted and processed",,"2025/11/05 13:12:41.145","2025/11/05 21:12:41.145","2025/11/05 13:18:00.435"
