instId,baseCurrency,quoteCurrency,contractValue,listTime,expireTime,maxLeverage,minSize,lotSize,tickSize,instType,contractType,maxLimitSize,maxMarketSize,state,thresholdX,thresholdY,thresholdZ,settleCurrency
BTC-USDC,BTC,USDC,0.0001,1755507600000,4878180000000,125,1,1,0.1,SWAP,linear,8000000,250000,live,0.04,0.1,0.15,USDC
BTC-USD,BTC,USD,1,1750485600000,4878180000000,100,1,1,0.1,SWAP,inverse,20000000,3000000,live,0.02,0.005,0.01,BTC
BTC-USDT,BTC,USDT,0.001,1673517600000,4918462709025,150,0.1,0.1,0.1,SWAP,linear,1000000,100000,live,0.02,0.01,0.02,USDT
ETH-USDC,ETH,USDC,0.001,1755507600000,4878180000000,125,1,1,0.01,SWAP,linear,8000000,400000,live,0.04,0.1,0.15,USDC
ETH-USD,ETH,USD,1,1750485600000,4878180000000,100,1,1,0.01,SWAP,inverse,20000000,3000000,live,0.02,0.01,0.02,ETH
DOGE-USDC,DOGE,USDC,1,1755507600000,4878180000000,75,1,1,0.00001,SWAP,linear,50000000,5000000,live,0.04,0.1,0.15,USDC
XRP-USD,XRP,USD,1,1750759200000,4878180000000,50,1,1,0.0001,SWAP,inverse,20000000,400000,live,0.02,0.015,0.15,XRP
SOL-USDC,SOL,USDC,0.01,1755507600000,4878180000000,100,1,1,0.01,SWAP,linear,80000000,600000,live,0.04,0.1,0.15,USDC
SUI-USD,SUI,USD,1,1750759200000,4878180000000,20,1,1,0.0001,SWAP,inverse,20000000,100000,live,0.04,0.015,0.15,SUI
XRP-USDC,XRP,USDC,0.1,1755507600000,4878180000000,75,1,1,0.0001,SWAP,linear,80000000,4000000,live,0.04,0.1,0.15,USDC
SOL-USD,SOL,USD,1,1751018400000,4878180000000,50,1,1,0.01,SWAP,inverse,20000000,120000,live,0.02,0.01,0.02,SOL
BNB-USDC,BNB,USDC,0.01,1755507600000,4878180000000,75,1,1,0.01,SWAP,linear,8000000,40000,live,0.04,0.1,0.15,USDC
DOGE-USD,DOGE,USD,1,1751018400000,4878180000000,50,1,1,0.00001,SWAP,inverse,20000000,300000,live,0.04,0.015,0.15,DOGE
SUI-USDC,SUI,USDC,0.1,1755507600000,4878180000000,50,1,1,0.0001,SWAP,linear,100000000,600000,live,0.04,0.1,0.15,USDC
ADA-USD,ADA,USD,1,1751018400000,4878180000000,20,1,1,0.0001,SWAP,inverse,20000000,100000,live,0.04,0.01,0.02,ADA
ENA-USDC,ENA,USDC,1,1755507600000,4878180000000,50,1,1,0.0001,SWAP,linear,1000000,200000,live,0.04,0.1,0.15,USDC
LINK-USD,LINK,USD,1,1751018400000,4878180000000,50,1,1,0.001,SWAP,inverse,20000000,70000,live,0.02,0.01,0.02,LINK
LINK-USDC,LINK,USDC,0.01,1755507600000,4878180000000,75,1,1,0.001,SWAP,linear,10000000,400000,live,0.04,0.1,0.15,USDC
UNI-USD,UNI,USD,1,1751018400000,4878180000000,20,1,1,0.001,SWAP,inverse,20000000,100000,live,0.04,0.02,0.15,UNI
ADA-USDC,ADA,USDC,1,1755507600000,4878180000000,25,1,1,0.0001,SWAP,linear,1000000,100000,live,0.04,0.1,0.15,USDC
ETH-USDT,ETH,USDT,0.01,1673517600000,4918462716651,150,0.1,0.1,0.01,SWAP,linear,600000,200000,live,0.02,0.02,0.05,USDT
CYS-USDT,CYS,USDT,10,1765538100000,4878180000000,20,1,1,0.0001,SWAP,linear,400000,40000,live,0.04,0.15,0.15,USDT
US-USDT,US,USDT,100,1765538100000,4878180000000,40,1,1,0.00001,SWAP,linear,500000,50000,live,0.04,0.15,0.15,USDT
WET-USDT,WET,USDT,10,1765294200000,4878180000000,25,1,1,0.00001,SWAP,linear,78000,15600,live,0.04,0.15,0.15,USDT
NIGHT-USDT,NIGHT,USDT,10,1765285200000,4878180000000,50,1,1,0.00001,SWAP,linear,125000,25000,live,0.04,0.15,0.15,USDT
POWER-USDT,POWER,USDT,10,1765013400000,4878180000000,20,1,1,0.00001,SWAP,linear,600000,60000,live,0.04,0.15,0.15,USDT
