instId,baseCurrency,quoteCurrency,contractValue,listTime,expireTime,maxLeverage,minSize,lotSize,tickSize,instType,contractType,maxLimitSize,maxMarketSize,state,thresholdX,thresholdY,thresholdZ,settleCurrency,,
BTC-USDC,BTC,USDC,0.001,8/14/25 6:00.00.000,8/1/24 10:00.00.000,125,0.1,0.1,0.1,SWAP,linear,800000,25000,live,,,,USDC,,
BTC-USD,BTC,USD,1,6/19/25 6:30.00.000,8/1/24 10:00.00.000,100,1,1,0.1,SWAP,inverse,20000000,3000000,live,,,,BTC,,
BTC-USDT,BTC,USDT,0.001,1/12/23 10:00.00.000,11/30/29 16:00.00.000,150,0.1,0.1,0.1,SWAP,linear,171100,100000,live,,,,USDT,,
ETH-USDC,ETH,USDC,0.001,8/14/25 6:00.00.000,8/1/24 10:00.00.000,125,1,1,0.01,SWAP,linear,8000000,400000,live,,,,USDC,,
ETH-USD,ETH,USD,1,6/19/25 6:30.00.000,8/1/24 10:00.00.000,100,1,1,0.01,SWAP,inverse,20000000,3000000,live,,,,ETH,,
ETH-USDT,ETH,USDT,0.01,1/12/23 10:00.00.000,11/30/29 16:00.00.000,150,0.1,0.1,0.01,SWAP,linear,188700,150000,live,,,,USDT,,
PENGU-USDT,PENGU,USDT,100,7/25/25 6:00.00.000,7/25/35 3:48.53.921,75,1,1,0.000001,SWAP,linear,500000,40000,live,,,,USDT,,
PONKE-USDT,PONKE,USDT,10,6/21/24 10:30.05.000,1/6/51 16:00.00.000,25,1,1,0.00001,SWAP,linear,25000,5000,live,,,,USDT,,
NOT-USDT,NOT,USDT,1000,5/16/24 16:45.05.000,11/30/50 16:00.00.000,50,1,1,0.000001,SWAP,linear,30000,3000,live,,,,USDT,,
BRETT-USDT,BRETT,USDT,100,4/29/24 12:30.05.000,11/30/30 16:00.00.000,50,1,1,0.00001,SWAP,linear,100000,10000,live,,,,USDT,,
POPCAT-USDT,POPCAT,USDT,10,3/28/24 10:30.05.000,11/30/30 16:00.00.000,75,1,1,0.0001,SWAP,linear,200000,20000,live,,,,USDT,,
TAO-USDT,TAO,USDT,0.01,7/25/25 6:00.00.000,7/25/35 3:57.16.621,75,1,1,0.01,SWAP,linear,30000,18000,live,,,,USDT,,
ONDO-USDT,ONDO,USDT,0.1,1/22/24 10:30.05.000,11/30/30 16:00.00.000,50,1,1,0.0001,SWAP,linear,1000000,250000,live,,,,USDT,,
WIF-USDT,WIF,USDT,1,1/18/24 14:15.15.000,12/31/29 16:00.00.000,50,1,1,0.0001,SWAP,linear,624500,100000,live,,,,USDT,,
TURBO-USDT,TURBO,USDT,10000,12/14/23 12:40.05.000,11/30/29 16:00.00.000,20,0.1,0.1,0.0000001,SWAP,linear,43400,25000,live,,,,USDT,,
KAS-USDT,KAS,USDT,1,11/16/23 8:30.05.000,12/1/30 4:30.00.000,50,1,1,0.00001,SWAP,linear,562500,562500,live,,,,USDT,,
TIA-USDT,TIA,USDT,1,11/1/23 4:30.05.000,11/1/30 3:19.11.000,50,1,1,0.001,SWAP,linear,92500,40000,live,,,,USDT,,
TON-USDT,TON,USDT,1,10/30/23 10:30.05.000,10/30/29 9:43.33.000,20,1,1,0.001,SWAP,linear,118100,40000,live,,,,USDT,,
JASMY-USDT,JASMY,USDT,1,10/18/23 8:30.00.000,10/10/29 8:30.00.000,50,1,1,0.000001,SWAP,linear,24837300,10000000,live,,,,USDT,,
AR-USDT,AR,USDT,0.1,10/18/23 8:30.00.000,10/10/29 8:30.00.000,50,1,1,0.001,SWAP,linear,132600,90000,live,,,,USDT,,
PEOPLE-USDT,PEOPLE,USDT,100,8/14/23 8:30.05.000,12/31/28 16:00.00.000,50,1,1,0.00001,SWAP,linear,97300,50000,live,,,,USDT,,
SHIB-USDT,SHIB,USDT,1000000,8/4/23 10:30.05.000,12/31/28 16:00.00.000,50,1,1,0.000000001,SWAP,linear,94000,35000,live,,,,USDT,,
INJ-USDT,INJ,USDT,1,8/4/23 10:30.05.000,12/31/28 16:00.00.000,25,0.1,0.1,0.001,SWAP,linear,10600,10600,live,,,,USDT,,
LINK-USDT,LINK,USDT,1,1/12/23 10:00.00.000,11/30/29 16:00.00.000,50,1,1,0.001,SWAP,linear,98300,25000,live,,,,USDT,,
ADA-USDT,ADA,USDT,100,1/12/23 10:00.00.000,11/30/29 16:00.00.000,50,0.1,0.1,0.0001,SWAP,linear,13000,4500,live,,,,USDT,,
DOGE-USDT,DOGE,USDT,1000,1/12/23 10:00.00.000,11/30/29 16:00.00.000,50,0.1,0.1,0.00001,SWAP,linear,17000,12000,live,,,,USDT,,
AVAX-USDT,AVAX,USDT,1,1/12/23 10:00.00.000,11/30/29 16:00.00.000,50,0.1,0.1,0.001,SWAP,linear,55400,5200,live,,,,USDT,,
WLD-USDT,WLD,USDT,1,7/24/23 12:00.05.000,12/31/28 16:00.00.000,75,1,1,0.0001,SWAP,linear,214300,10000,live,,,,USDT,,
PEPE-USDT,PEPE,USDT,10000000,5/11/23 8:30.01.000,11/30/29 16:00.00.000,75,0.1,0.1,0.000000001,SWAP,linear,30300,10000,live,,,,USDT,,
OP-USDT,OP,USDT,1,4/12/23 8:30.05.000,12/31/28 16:00.00.000,50,1,1,0.0001,SWAP,linear,488200,100000,live,,,,USDT,,
NEAR-USDT,NEAR,USDT,10,4/12/23 8:30.05.000,12/31/28 16:00.00.000,50,0.1,0.1,0.001,SWAP,linear,19900,3200,live,,,,USDT,,
XRP-USDT,XRP,USDT,100,1/12/23 10:00.00.000,11/30/29 16:00.00.000,50,0.1,0.1,0.0001,SWAP,linear,30200,5000,live,,,,USDT,,
SOL-USDT,SOL,USDT,1,1/12/23 10:00.00.000,11/30/29 16:00.00.000,75,0.01,0.01,0.01,SWAP,linear,30400,6000,live,,,,USDT,,
