Timestamp,Open,High,Low,Close,Volume,CurrencyVolume,TradeAmount,Flag
1765063800000,2.0251,2.028,2.0231,2.0274,974,97424,197293.6884,0
1765062900000,2.028,2.0305,2.0228,2.0254,1142,114249,231520.5342,1
1765062000000,2.0267,2.0288,2.0229,2.0277,2903,290328,588198.0173,1
1765061100000,2.031,2.031,2.0258,2.0267,507,50743,102907.4902,1
1765060200000,2.0286,2.031,2.0284,2.031,457,45784,92933.1524,1
1765059300000,2.033,2.0351,2.0289,2.0289,1028,102801,208974.0691,1
1765058400000,2.0326,2.0335,2.0259,2.0329,1100,110037,223391.1007,1
1765057500000,2.0325,2.0338,2.0302,2.0327,884,88421,179679.8728,1
1765056600000,2.0303,2.0344,2.0303,2.0325,764,76493,155448.917,1
1765055700000,2.0284,2.0332,2.0278,2.0303,1138,113874,231261.498,1
1765054800000,2.029,2.0358,2.0273,2.029,2163,216368,439503.5387,1
1765053900000,2.0307,2.0308,2.0282,2.0292,549,54933,111472.074,1
1765053000000,2.0268,2.0307,2.0248,2.0307,1323,132358,268243.2289,1
1765052100000,2.0245,2.0278,2.0232,2.0272,1456,145668,294950.88,1
1765051200000,2.0241,2.0271,2.0218,2.0244,850,85078,172212.7359,1
1765050300000,2.0226,2.0246,2.0222,2.0244,654,65416,132347.7965,1
1765049400000,2.0287,2.0287,2.0192,2.0222,2043,204320,413084.5126,1
1765048500000,2.0264,2.0286,2.0242,2.0286,1276,127630,258629.3767,1
1765047600000,2.0289,2.0326,2.0199,2.0263,3061,306145,619644.1437,1
1765046700000,2.032,2.0329,2.0276,2.0291,925,92559,187935.3763,1
1765045800000,2.0338,2.0371,2.031,2.0323,2150,215023,437043.1447,1
1765044900000,2.0327,2.036,2.0318,2.034,3120,312002,634635.4564,1
1765044000000,2.0319,2.033,2.0279,2.0327,1022,102282,207610.7569,1
1765043100000,2.0275,2.0323,2.0273,2.0319,678,67813,137622.2503,1
1765042200000,2.0339,2.0339,2.0275,2.0275,719,71968,146125.2623,1
1765041300000,2.0341,2.0349,2.03,2.034,968,96828,196868.8209,1
1765040400000,2.0335,2.0368,2.0327,2.034,1074,107410,218524.5772,1
1765039500000,2.0362,2.038,2.0334,2.0339,981,98165,199741.0328,1
1765038600000,2.0312,2.0376,2.0276,2.0362,2200,220012,447459.0391,1
1765037700000,2.0342,2.0351,2.029,2.0312,1002,100235,203683.6887,1
1765036800000,2.028,2.035,2.0259,2.0343,1987,198739,403859.8087,1
1765035900000,2.029,2.032,2.0276,2.0283,1287,128777,261485.4119,1
1765035000000,2.0245,2.0294,2.0205,2.0287,2544,254481,515063.78,1
1765034100000,2.0336,2.0336,2.0215,2.024,2399,239977,485995.4039,1
1765033200000,2.0382,2.0389,2.0316,2.034,1589,158990,323463.6803,1
1765032300000,2.0407,2.044,2.0367,2.0379,1672,167285,341205.4301,1
1765031400000,2.0391,2.0435,2.0383,2.0405,1761,176140,359450.5133,1
1765030500000,2.0311,2.0471,2.0311,2.0394,4412,441238,900292.0972,1
1765029600000,2.0293,2.0338,2.028,2.0311,963,96324,195614.2959,1
1765028700000,2.0348,2.0348,2.0293,2.0293,851,85137,173024.9184,1
1765027800000,2.0337,2.0384,2.0329,2.0348,908,90870,184948.9756,1
1765026900000,2.0325,2.0352,2.0313,2.0337,670,67062,136378.1233,1
1765026000000,2.0291,2.034,2.0289,2.0328,584,58498,118880.3413,1
1765025100000,2.0304,2.0322,2.0282,2.0291,716,71628,145378.2876,1
